scenario,timestamp_ms,latency_ms,fps,theta_output,decision,jt_cm,djt_cm
belok,1750247153856,168.6074733734131,5.93093520703742,-11.453266589250573,KANAN RINGAN,0.0,0.0
belok,1750247154050,180.19485473632812,5.549548023794906,-11.607644045031723,KANAN RINGAN,0.0,0.0
belok,1750247154263,213.4251594543457,4.685483204307562,-11.789645972317638,KANAN RINGAN,0.0,0.0
belok,1750247154469,206.1002254486084,4.852008278124628,-12.012527547733544,KANAN RINGAN,0.0,0.0
belok,1750247154687,217.29731559753418,4.601989662183143,-12.28149459574179,KANAN RINGAN,0.0,0.0
belok,1750247154914,226.89104080200195,4.407401880943624,-11.828915750015053,KANAN RINGAN,0.0,0.0
belok,1750247155136,221.9104766845703,4.506321715587262,-11.90404558216795,KANAN RINGAN,0.0,0.0
belok,1750247155363,211.17925643920898,4.735313576065481,-11.963325889595197,KANAN RINGAN,0.0,0.0
belok,1750247155583,205.26576042175293,4.871733103199151,-11.998061873050707,KANAN RINGAN,0.0,0.0
belok,1750247155809,209.34653282165527,4.776768865104212,-11.99516873811414,KANAN RINGAN,0.0,0.0
belok,1750247156023,205.87801933288574,4.857245097074168,-11.93790356658861,KANAN RINGAN,0.0,0.0
belok,1750247156240,201.00784301757812,4.974930256390792,-11.95970112990332,KANAN RINGAN,0.0,0.0
belok,1750247156477,205.75976371765137,4.860036685171473,-11.970832239450393,KANAN RINGAN,0.0,0.0
belok,1750247156714,221.09127044677734,4.52301892326738,-8.368187492437745,KANAN RINGAN,11.639999999999999,8.759999999999998
belok,1750247156946,216.2647247314453,4.623962605282886,-11.968575117827607,KANAN RINGAN,6.12,-5.519999999999999
belok,1750247157187,224.29943084716797,4.458326069856927,-9.569541370204778,KANAN RINGAN,11.52,5.3999999999999995
belok,1750247157441,238.7070655822754,4.189235025619001,-7.181960656887055,KANAN RINGAN,17.88,6.359999999999999
belok,1750247157724,251.73377990722656,3.9724505800077283,-6.941279690165652,KANAN RINGAN,16.56,-1.3200000000000003
belok,1750247158011,255.42855262756348,3.914989102483327,-8.151259259259259,KANAN RINGAN,21.599999999999998,5.039999999999999
belok,1750247158261,238.2359504699707,4.197519299783634,-0.9951734470472708,LURUS,26.04,4.440000000000001
belok,1750247158514,232.18655586242676,4.306881577555729,-11.255559920477225,KANAN RINGAN,15.84,-10.2
belok,1750247158769,239.29882049560547,4.178875591316858,-13.391373300349244,KANAN RINGAN,15.959999999999999,0.11999999999999922
belok,1750247159012,228.8339138031006,4.369981631570777,-17.24011404108998,KANAN RINGAN,12.719999999999999,-3.24
belok,1750247159250,237.5481128692627,4.20967351801427,-23.24011404108998,KANAN SEDANG,6.12,-6.599999999999999
belok,1750247159471,205.1870822906494,4.873601148943142,-22.254803504840833,KANAN SEDANG,17.28,11.16
belok,1750247159713,210.9668254852295,4.740081753138071,-11.99441703141088,KANAN RINGAN,20.4,3.1199999999999974
belok,1750247159945,204.59580421447754,4.887685765792641,-11.599612478777193,KANAN RINGAN,22.8,2.400000000000002
belok,1750247160183,206.13789558410645,4.851121610446389,-7.627587224997998,KANAN RINGAN,24.72,1.9199999999999982
belok,1750247160419,205.25693893432617,4.871942479469399,-0.21856076423018056,LURUS,29.4,4.68
